8373;4259;5505
6685;4835;6286
9294;5307;7860
3413;5214;7056
4302;6326;5667
4002;3500;2951
8654;3630;1931
4050;5877;6110
2345;6701;4504
7553;3484;3855
6595;7926;6507
7743;7074;4721
7514;6571;7351
5697;8865;2095
3323;2007;9005
4544;1358;8088
4415;6470;4531
2002;1757;9169
9469;1011;2265
2996;1420;4127
8498;8427;9836
5276;7565;3139
5560;2229;1940
7853;8166;2590
9485;6692;9094
7420;6960;6483
5386;2316;7684
9877;1229;6965
6955;2505;3403
5085;5152;4503
2780;3318;6047
1085;5199;1833
1849;4025;1682
9201;3476;7903
3053;8855;1692
1934;8167;4004
1735;4910;3014
4477;9149;7572
2417;5836;6607
2389;9418;7248
3359;6769;4351
2964;9632;3040
9325;2536;4412
6042;9197;7812
4768;6825;6109
9649;1866;1337
2372;4861;5978
4588;7076;8015
2735;6302;3977
4470;2001;7815
4105;5548;3291
3022;9814;5668
7513;3749;8548
2260;5135;7531
2082;6066;7175
2001;1539;7155
4060;1273;6841
3820;3528;6294
6863;2496;5138
5329;2294;8544
7691;5573;9559
2006;3384;8831
8954;7902;5250
9913;3154;4980
2927;6916;2977
1277;6624;6055
3069;4412;5976
2419;8586;4492
9277;5721;4982
1515;4986;1745
8439;8390;4110
8490;9715;3268
7171;3000;8365
4263;2419;5465
7735;4314;8586
6330;8739;9636
6068;7752;8701
6227;8880;4306
3328;6958;9478
8735;9763;8069
7143;5049;3717
7661;7501;3915
7268;3486;2746
6142;8860;3911
6395;8646;6011
4748;1388;9946
2109;9417;4490
3509;5460;8036
3343;1179;8517
4373;2532;2930
6565;1778;9646
1739;7630;2705
5816;9138;2069
9668;9444;9780
5002;2706;4817
2350;3959;4808
1263;6162;2414
2439;4865;1144
6976;1902;5889
2677;7657;9150
5408;7618;4894
7756;6750;2623
6784;3840;7084
9830;7523;2707
1195;3106;7926
4114;5924;8563
5195;7792;6639
1538;2166;9408
4035;6811;7934
7423;8073;6822
8128;5689;4986
7129;4211;6791
1268;6180;4588
5717;6443;5545
7526;8245;5408
2913;7192;2837
4732;7549;9635
4703;4807;7892
7822;4456;1818
5908;4594;4684
5743;8465;1454
5255;8611;3754
8259;7388;3770
5008;8716;8649
2548;4752;3352
8485;7790;5791
3742;8122;2897
9675;1415;3813
4849;9591;4717
5227;1055;6025
5387;7808;9381
5526;1833;4703
5463;9175;4180
1841;7911;5659
5626;9714;2284
9985;3852;8362
9148;8730;9176
7017;1841;1272
8399;1586;1626
4230;5912;5533
4932;5446;3133
4914;9928;5133
2232;4908;1777
1596;3744;2704
3453;4467;9177
3386;7935;5857
1511;2830;7047
8203;6753;3985
3803;2909;1202
9665;1402;3952
7142;1500;3193
1629;8325;4998
6819;6530;1551
1851;6131;2965
3197;3244;1769
9016;8408;5683
7817;3996;1419
3050;4127;6314
6366;1910;8394
2798;9072;8745
8076;4149;6371
3572;3388;8325
7907;8112;1255
8133;3789;7080
4870;2934;6521
5349;8345;6741